TheEvent(id=1, MonthlyEvent=2025-01-01)
TheEvent(id=2, MonthlyEvent=2026-01-01)
TheEvent(id=3, MonthlyEvent=2027-01-01)
TheEvent(id=4, MonthlyEvent=2027-03-01)
TheEvent(id=5, MonthlyEvent=2027-04-01)
TheEvent(id=6, MonthlyEvent=2027-05-01)
TheEvent(id=7, MonthlyEvent=2028-01-01)
TheEvent(id=8, MonthlyEvent=2028-12-01)
TheEvent(id=9, MonthlyEvent=2028-12-02)
TheEvent(id=10, MonthlyEvent=2028-12-03)
TheEvent(id=11, MonthlyEvent=2028-12-04)
TheEvent(id=12, MonthlyEvent=2028-12-05)
TheEvent(id=13, MonthlyEvent=2029-01-01)
TheEvent(id=14, MonthlyEvent=2030-01-01)
TheEvent(id=15, MonthlyEvent=2031-01-01)
