MonthlyEventsExceptMay(id=1, MonthlyEvent=2025-02-01)
MonthlyEventsExceptMay(id=2, MonthlyEvent=2025-03-01)
MonthlyEventsExceptMay(id=3, MonthlyEvent=2025-04-01)
MonthlyEventsExceptMay(id=4, MonthlyEvent=2025-06-01)
MonthlyEventsExceptMay(id=5, MonthlyEvent=2025-07-01)
MonthlyEventsExceptMay(id=6, MonthlyEvent=2025-08-01)
MonthlyEventsExceptMay(id=7, MonthlyEvent=2025-09-01)
MonthlyEventsExceptMay(id=8, MonthlyEvent=2025-10-01)
MonthlyEventsExceptMay(id=9, MonthlyEvent=2025-11-01)
MonthlyEventsExceptMay(id=10, MonthlyEvent=2025-12-01)
MonthlyEventsExceptMay(id=11, MonthlyEvent=2026-01-01)
MonthlyEventsExceptMay(id=12, MonthlyEvent=2026-02-01)
