MonthlyEventsPlusValentines(id=1, MonthlyEvent=2025-02-01)
MonthlyEventsPlusValentines(id=2, MonthlyEvent=2025-02-14)
MonthlyEventsPlusValentines(id=3, MonthlyEvent=2025-03-01)
MonthlyEventsPlusValentines(id=4, MonthlyEvent=2025-04-01)
MonthlyEventsPlusValentines(id=5, MonthlyEvent=2025-05-01)
MonthlyEventsPlusValentines(id=6, MonthlyEvent=2025-06-01)
MonthlyEventsPlusValentines(id=7, MonthlyEvent=2025-07-01)
MonthlyEventsPlusValentines(id=8, MonthlyEvent=2025-08-01)
MonthlyEventsPlusValentines(id=9, MonthlyEvent=2025-09-01)
MonthlyEventsPlusValentines(id=10, MonthlyEvent=2025-10-01)
MonthlyEventsPlusSeveralNewYears(id=1, MonthlyEvent=2000-01-01)
MonthlyEventsPlusSeveralNewYears(id=2, MonthlyEvent=2001-01-01)
MonthlyEventsPlusSeveralNewYears(id=3, MonthlyEvent=2002-01-01)
MonthlyEventsPlusSeveralNewYears(id=4, MonthlyEvent=2025-02-01)
MonthlyEventsPlusSeveralNewYears(id=5, MonthlyEvent=2025-03-01)
MonthlyEventsPlusSeveralNewYears(id=6, MonthlyEvent=2025-04-01)
MonthlyEventsPlusSeveralNewYears(id=7, MonthlyEvent=2025-05-01)
MonthlyEventsPlusSeveralNewYears(id=8, MonthlyEvent=2025-06-01)
MonthlyEventsPlusSeveralNewYears(id=9, MonthlyEvent=2025-07-01)
MonthlyEventsPlusSeveralNewYears(id=10, MonthlyEvent=2025-08-01)
